0	0	1	24	33	33	33	67	1
0	0	7	21	30	30	30	70	2
0	0	2	21	31	31	31	69	3
0	0	7	28	41	41	41	59	4
0	0	2	27	34	34	34	66	5
0	0	2	23	31	31	31	69	6
0	0	2	21	27	27	27	73	7
0	0	3	26	38	38	38	62	8
0	0	5	27	40	41	41	59	9
0	0	3	22	31	31	31	69	10
0	0	2	29	35	35	35	65	11
0	0	5	31	38	39	39	61	12
0	0	1	28	37	37	37	63	13
0	0	4	32	43	43	43	57	14
0	0	4	30	42	42	42	58	15
0	0	4	22	34	34	34	66	16
0	0	6	26	34	34	34	66	17
0	0	5	36	47	47	47	53	18
0	0	6	24	34	34	34	66	19
0	0	7	31	36	36	36	64	20
0	0	3	29	40	40	40	60	21
0	0	4	28	39	39	39	61	22
0	0	4	34	46	46	46	54	23
0	0	5	32	38	38	38	62	24
0	0	4	27	35	35	35	65	25
0	0	6	28	40	40	40	60	26
0	0	4	25	32	32	32	68	27
0	0	5	26	39	39	39	61	28
0	0	1	27	31	31	31	69	29
0	0	3	23	32	32	32	68	30
0	0	2	32	41	41	41	59	31
0	0	2	27	38	38	38	62	32
0	0	3	26	35	35	35	65	33
0	0	4	30	36	36	36	64	34
0	0	6	33	44	44	44	56	35
0	0	8	34	40	40	40	60	36
0	0	3	20	28	28	28	72	37
0	0	4	29	35	35	35	65	38
0	0	5	28	38	38	38	62	39
0	0	7	29	32	32	32	68	40
0	0	3	21	32	32	32	68	41
0	0	3	32	38	38	38	62	42
0	0	6	29	35	35	35	65	43
0	0	2	31	42	42	42	58	44
0	0	5	31	42	42	42	58	45
0	0	6	29	38	38	38	62	46
0	0	3	27	35	35	35	65	47
0	0	1	22	31	31	31	69	48
0	0	3	30	37	37	37	63	49
0	0	1	24	36	36	36	64	50
0	0	3	29	32	32	32	68	51
0	0	2	30	41	41	41	59	52
0	0	4	23	32	32	32	68	53
0	0	5	27	35	35	35	65	54
0	0	2	23	36	36	36	64	55
0	0	6	30	38	38	38	62	56
0	0	4	26	40	40	40	60	57
0	0	5	35	47	47	47	53	58
0	0	5	32	41	41	41	59	59
0	0	7	34	41	41	41	59	60
0	0	1	31	44	44	44	56	61
0	0	0	17	29	29	29	71	62
0	0	4	29	37	38	38	62	63
0	0	1	26	35	36	36	64	64
0	0	1	28	37	37	37	63	65
0	0	4	25	37	37	37	63	66
0	0	4	28	40	40	40	60	67
0	0	5	29	40	40	40	60	68
0	0	6	30	39	39	39	61	69
0	0	6	28	41	41	41	59	70
0	0	4	20	27	27	27	73	71
0	0	5	27	35	35	35	65	72
0	0	3	25	34	34	34	66	73
0	0	4	28	38	38	38	62	74
0	0	6	27	39	39	39	61	75
0	0	6	31	44	44	44	56	76
0	0	1	23	35	35	35	65	77
0	0	5	28	37	37	37	63	78
0	0	2	23	27	27	27	73	79
0	0	4	30	39	39	39	61	80
0	0	4	23	30	30	30	70	81
0	0	3	25	34	34	34	66	82
0	0	0	27	38	39	39	61	83
0	0	4	23	34	34	34	66	84
0	0	3	22	32	32	32	68	85
0	0	6	36	42	42	42	58	86
0	0	3	25	33	33	33	67	87
0	0	5	27	33	33	33	67	88
0	0	4	31	36	36	36	64	89
0	0	3	31	38	38	38	62	90
0	0	4	25	32	32	32	68	91
0	0	2	22	30	30	30	70	92
0	0	4	33	43	43	43	57	93
0	0	5	23	36	36	36	64	94
0	0	5	28	37	37	37	63	95
0	0	3	23	32	32	32	68	96
0	0	8	31	36	36	36	64	97
0	0	5	31	43	43	43	57	98
0	0	5	30	38	38	38	62	99
0	0	5	26	35	35	35	65	100
